sim_time,month,day,hour,heating_setpoint,cooling_setpoint
07/17 14:00,7,17,14,18.5,25.2
07/17 15:00,7,17,15,20.5,26.3
07/17 16:00,7,17,16,19.4,25.9
07/17 17:00,7,17,17,18.2,26.2
07/17 18:00,7,17,18,18.9,26.3
07/17 19:00,7,17,19,20.5,26.7
07/17 20:00,7,17,20,20.5,25.2
07/17 21:00,7,17,21,20.5,26.2
07/17 22:00,7,17,22,18.5,25.5
07/17 23:00,7,17,23,18.5,25.8
07/18 00:00,7,18,0,20.5,26.8
07/18 01:00,7,18,1,19.5,26.6
07/18 02:00,7,18,2,18.5,25.5
07/18 03:00,7,18,3,19.9,26.5
07/18 04:00,7,18,4,18.8,25.5
07/18 05:00,7,18,5,19.8,26.7
07/18 06:00,7,18,6,20.5,26.7
07/18 07:00,7,18,7,20.5,25.7
07/18 08:00,7,18,8,20.5,26.5
07/18 09:00,7,18,9,20.5,26.3
07/18 10:00,7,18,10,18.2,25.5
07/18 11:00,7,18,11,19.9,26.1
07/18 12:00,7,18,12,18.8,25.9
07/18 13:00,7,18,13,19.5,25.8
07/18 14:00,7,18,14,18.9,26.6
07/18 15:00,7,18,15,20.5,26.2
07/18 16:00,7,18,16,17.5,25.8
07/18 17:00,7,18,17,19.5,26.3
07/18 18:00,7,18,18,18.4,26.8
07/18 19:00,7,18,19,18.8,26.7
07/18 20:00,7,18,20,17.5,25.5
07/18 21:00,7,18,21,20.5,26.5
07/18 22:00,7,18,22,20.5,26.5
07/18 23:00,7,18,23,18.5,25.3
07/19 00:00,7,19,0,19.4,25.9
07/19 01:00,7,19,1,17.5,25.8
07/19 02:00,7,19,2,19.5,26.7
07/19 03:00,7,19,3,19.4,25.6
07/19 04:00,7,19,4,19.5,25.4
07/19 05:00,7,19,5,20.5,26.3
07/19 06:00,7,19,6,19.5,25.8
07/19 07:00,7,19,7,18.0,25.5
07/19 08:00,7,19,8,18.2,26.7
07/19 09:00,7,19,9,20.5,26.5
07/19 10:00,7,19,10,18.0,25.1
07/19 11:00,7,19,11,20.5,26.7
07/19 12:00,7,19,12,18.0,26.5
07/19 13:00,7,19,13,20.5,27.1
07/19 14:00,7,19,14,18.0,25.2
07/19 15:00,7,19,15,19.9,26.2
07/19 16:00,7,19,16,18.5,26.5
07/19 17:00,7,19,17,18.5,26.4
07/19 18:00,7,19,18,19.5,25.8
07/19 19:00,7,19,19,19.4,25.6
07/19 20:00,7,19,20,18.8,26.5
07/19 21:00,7,19,21,20.5,25.6
07/19 22:00,7,19,22,20.5,26.1
07/19 23:00,7,19,23,20.5,26.2
07/20 00:00,7,20,0,19.5,26.8
07/20 01:00,7,20,1,20.5,25.6
07/20 02:00,7,20,2,18.5,26.7
07/20 03:00,7,20,3,17.5,26.6
07/20 04:00,7,20,4,20.5,26.5
07/20 05:00,7,20,5,19.5,25.6
07/20 06:00,7,20,6,19.5,25.5
07/20 07:00,7,20,7,19.4,26.5
07/20 08:00,7,20,8,19.5,26.9
07/20 09:00,7,20,9,19.4,26.5
07/20 10:00,7,20,10,17.4,26.3
07/20 11:00,7,20,11,19.5,26.4
07/20 12:00,7,20,12,20.5,26.5
07/20 13:00,7,20,13,17.5,26.2
07/20 14:00,7,20,14,17.5,26.2
07/20 15:00,7,20,15,20.9,25.1
07/20 16:00,7,20,16,19.5,26.3
07/20 17:00,7,20,17,19.8,26.3
07/20 18:00,7,20,18,18.5,26.8
07/20 19:00,7,20,19,18.5,26.2
07/20 20:00,7,20,20,17.5,26.5
07/20 21:00,7,20,21,18.9,25.5
07/20 22:00,7,20,22,18.9,25.5
07/20 23:00,7,20,23,19.8,26.2
